Time (hr),Year,Month,Day,Hour,Temperature (K),Direct Flux (W/m2),Clear Direct Flux (W/m2),Zenith (deg from up),Azimuth (deg from north cw)
26.0,2019.0,3.0,8.0,2.0,276.4833333333333,0.0,0.0,140.1234818498065,33.199776920835234
27.0,2019.0,3.0,8.0,3.0,275.84999999999997,0.0,0.0,132.3475437967704,51.75678647075111
28.0,2019.0,3.0,8.0,4.0,275.4222222222222,0.0,0.0,122.52573073561317,66.00789450318416
29.0,2019.0,3.0,8.0,5.0,275.25,0.0,0.0,111.64391115481958,77.55231246662238
30.0,2019.0,3.0,8.0,6.0,274.7444444444444,0.0,0.0,100.28807233230194,87.68389696461807
31.0,2019.0,3.0,8.0,7.0,276.0611111111111,0.0,3.099348118017507,88.50614131855073,97.35371589630542
32.0,2019.0,3.0,8.0,8.0,278.0222222222222,57.85,579.0027160943191,77.58894068101837,107.35456557868626
33.0,2019.0,3.0,8.0,9.0,279.43333333333334,206.48,800.3343408264248,67.06878128347402,118.48457110792225
34.0,2019.0,3.0,8.0,10.0,279.39444444444445,276.79,891.556545854815,57.690711619185635,131.64177048258168
35.0,2019.0,3.0,8.0,11.0,279.3111111111111,356.89,935.0435226597667,50.25478457053004,147.7170388100941
36.0,2019.0,3.0,8.0,12.0,279.2333333333333,388.04,954.0177088199828,45.807060039074244,166.96505882068965
37.0,2019.0,3.0,8.0,13.0,278.7444444444444,370.24,956.0039622375772,45.279322582697276,187.95000554802562
38.0,2019.0,3.0,8.0,14.0,278.4,334.64,941.7107454504835,48.802401111176536,207.85577172695727
39.0,2019.0,3.0,8.0,15.0,277.9222222222222,275.9,905.7270908873157,55.5845763643772,224.7633001737487
40.0,2019.0,3.0,8.0,16.0,277.4611111111111,208.26,830.6016807797193,64.5530369382564,238.5912714946833
41.0,2019.0,3.0,8.0,17.0,277.26111111111106,142.4,656.5940631113594,74.83819624262186,250.15816341058877
42.0,2019.0,3.0,8.0,18.0,277.01111111111106,61.41,144.39315816971524,85.7682602835604,260.38535915395664
43.0,2019.0,3.0,8.0,19.0,276.7111111111111,4.45,0.0,97.34303134561998,270.0930670562024
44.0,2019.0,3.0,8.0,20.0,276.2444444444444,0.0,0.0,108.72725396685371,280.0636324880193
45.0,2019.0,3.0,8.0,21.0,275.4833333333333,0.0,0.0,119.7361102314606,291.19091513365044
46.0,2019.0,3.0,8.0,22.0,274.54999999999995,0.0,0.0,129.84391212272854,304.661977488536
47.0,2019.0,3.0,8.0,23.0,273.51111111111106,0.0,0.0,138.18175072232128,322.01252595104177
48.0,2019.0,3.0,9.0,0.0,272.84999999999997,0.0,0.0,143.37528712356192,344.31641953083806
49.0,2019.0,3.0,9.0,1.0,272.54999999999995,0.0,0.0,143.96599297208448,9.674518067700234
50.0,2019.0,3.0,9.0,2.0,272.4222222222222,0.0,0.0,139.74319780210772,33.03216822569391
51.0,2019.0,3.0,9.0,3.0,272.18333333333334,0.0,0.0,131.99847882684477,51.50633995093639
52.0,2019.0,3.0,9.0,4.0,272.15,0.0,0.0,122.20356672428218,65.736495334124
53.0,2019.0,3.0,9.0,5.0,272.8833333333333,0.0,0.0,111.3385688776271,77.28224008584927
54.0,2019.0,3.0,9.0,6.0,272.95,0.0,0.0,99.9895552865672,87.42033244448814
