Time (hr),Year,Month,Day,Hour,Temperature (K),Direct Flux (W/m2),Clear Direct Flux (W/m2),Zenith (deg from up),Azimuth (deg from north cw)
0.0,2019.0,3.0,23.0,0.0,278.84,0.0,0.0,133.67468606408326,326.8018377686593
1.0,2019.0,3.0,23.0,1.0,278.62,0.0,0.0,138.13744951488167,347.4635314089279
2.0,2019.0,3.0,23.0,2.0,278.46,0.0,0.0,138.3692532132286,10.071957317740242
3.0,2019.0,3.0,23.0,3.0,278.34,0.0,0.0,134.30266581096907,31.065548614779345
4.0,2019.0,3.0,23.0,4.0,278.25,0.0,0.0,126.94843312368104,48.3575354343057
5.0,2019.0,3.0,23.0,5.0,278.17999999999995,0.0,0.0,117.51674750272495,62.191073962649085
6.0,2019.0,3.0,23.0,6.0,278.01,0.0,0.0,106.89706967551591,73.66161873403186
7.0,2019.0,3.0,23.0,7.0,277.95,0.0,0.0,95.6643804594854,83.81829827955063
8.0,2019.0,3.0,23.0,8.0,278.14,15.13,241.21923429246317,84.07424305383665,93.52770432296548
9.0,2019.0,3.0,23.0,9.0,279.23999999999995,149.52,674.6602763346173,72.83825732998443,103.5831180465351
10.0,2019.0,3.0,23.0,10.0,281.09,323.96,828.294576341947,62.040676286187534,114.85950456894172
11.0,2019.0,3.0,23.0,11.0,281.56,381.81,898.5124227179288,52.28486225914646,128.4541725100288
12.0,2019.0,3.0,23.0,12.0,284.46,642.58,933.4986764694953,44.449213406615726,145.63317218294617
13.0,2019.0,3.0,23.0,13.0,285.45,703.1,948.7414635300574,39.802230998375165,166.98508280146987
14.0,2019.0,3.0,23.0,14.0,285.38,716.45,949.5080916555382,39.53925461862986,190.5721279218076
15.0,2019.0,3.0,23.0,15.0,285.4,678.18,936.045293205621,43.740860031599105,212.3339473468599
16.0,2019.0,3.0,23.0,16.0,285.46,479.71,903.792489317705,51.28388217108802,229.9847239449889
17.0,2019.0,3.0,23.0,17.0,284.69,277.68,839.0157365790282,60.86844175440349,243.92669253899606
18.0,2019.0,3.0,23.0,18.0,284.44,174.44,697.9667285089145,71.57123917460964,255.41593512211728
19.0,2019.0,3.0,23.0,19.0,284.03999999999996,141.51,318.4673235886015,82.77438246748075,265.57949239526886
20.0,2019.0,3.0,23.0,20.0,282.84999999999997,22.25,0.0,94.32392915547544,275.31212277870975
21.0,2019.0,3.0,23.0,21.0,282.76,0.0,0.0,105.56826781364218,285.4088126968353
22.0,2019.0,3.0,23.0,22.0,282.39,0.0,0.0,116.23824084884922,296.7191257906958
23.0,2019.0,3.0,23.0,23.0,282.03,0.0,0.0,125.78145907596766,310.2612348302313
24.0,2019.0,3.0,24.0,0.0,281.72999999999996,0.0,0.0,133.34784212914724,327.12253027605385
25.0,2019.0,3.0,24.0,1.0,281.01,0.0,0.0,137.761229020921,347.67128088939194
26.0,2019.0,3.0,24.0,2.0,280.2,0.0,0.0,137.9687498962195,10.105002114482119
27.0,2019.0,3.0,24.0,3.0,279.53999999999996,0.0,0.0,133.91081950172747,30.946309987697816
28.0,2019.0,3.0,24.0,4.0,278.98999999999995,0.0,0.0,126.58173194899564,48.154749898944914
29.0,2019.0,3.0,24.0,5.0,278.58,0.0,0.0,117.17511726416234,61.95456036301147
30.0,2019.0,3.0,24.0,6.0,278.59,0.0,0.0,106.5736073771363,73.41405840819114
31.0,2019.0,3.0,24.0,7.0,278.53,0.0,0.0,95.35067942683273,83.56731886468326
32.0,2019.0,3.0,24.0,8.0,279.0,16.02,259.0084377268396,83.7676587298127,93.27496306466176
33.0,2019.0,3.0,24.0,9.0,280.02,112.14,679.2552143533671,72.51947595738636,103.3297480829379
34.0,2019.0,3.0,24.0,10.0,280.08,196.69,829.536323677469,61.70507297973579,114.61151464424451
35.0,2019.0,3.0,24.0,11.0,280.38,291.92,898.629914635621,51.92459051293591,128.2319565392191
36.0,2019.0,3.0,24.0,12.0,281.17999999999995,449.45,933.1418016342625,44.061684469026666,145.48709031803955
37.0,2019.0,3.0,24.0,13.0,281.33,459.24,948.1698238324128,39.40157008733546,166.99556059238293
38.0,2019.0,3.0,24.0,14.0,281.13,308.83,948.8614278567144,39.16035989018028,190.77778681909354
39.0,2019.0,3.0,24.0,15.0,281.01,311.5,935.4379964479148,43.41299918028222,212.668093547743
40.0,2019.0,3.0,24.0,16.0,281.71999999999997,489.5,903.3847536409139,51.009512142132856,230.35962862685153
41.0,2019.0,3.0,24.0,17.0,281.84,545.57,839.1656872828861,60.63458049687475,244.29944853488252
42.0,2019.0,3.0,24.0,18.0,281.66999999999996,390.71,699.8523738376848,71.36278427674662,255.7765138451997
43.0,2019.0,3.0,24.0,19.0,280.88,208.26,327.66034505713884,82.57958788206082,265.9309728378055
44.0,2019.0,3.0,24.0,20.0,279.53,34.71,0.0,94.12565237871398,275.6613333166434
45.0,2019.0,3.0,24.0,21.0,279.19,0.0,0.0,105.35725308362578,285.7622712986089
46.0,2019.0,3.0,24.0,22.0,278.84999999999997,0.0,0.0,116.00155452994213,297.0792265853644
47.0,2019.0,3.0,24.0,23.0,278.57,0.0,0.0,125.5051788993782,310.61831919178337
48.0,2019.0,3.0,25.0,0.0,278.35999999999996,0.0,0.0,133.0206544767617,327.4396541787304
49.0,2019.0,3.0,25.0,1.0,278.2,0.0,0.0,137.3851906950141,347.8761122067664
50.0,2019.0,3.0,25.0,2.0,277.96999999999997,0.0,0.0,137.56875622671083,10.137835240903428
51.0,2019.0,3.0,25.0,3.0,277.78999999999996,0.0,0.0,133.5193036951039,30.829083706586687
52.0,2019.0,3.0,25.0,4.0,277.62,0.0,0.0,126.21507444859395,47.954391416852985
53.0,2019.0,3.0,25.0,5.0,277.47999999999996,0.0,0.0,116.83342379506088,61.72000426347944
54.0,2019.0,3.0,25.0,6.0,273.21999999999997,0.0,0.0,106.25015167813417,73.16783256201063
55.0,2019.0,3.0,25.0,7.0,272.92999999999995,0.0,0.0,95.03715997157711,83.31709434231767
56.0,2019.0,3.0,25.0,8.0,273.7,27.59,276.22118115218063,83.46104179366571,93.02242821088446
57.0,2019.0,3.0,25.0,9.0,277.04999999999995,207.37,683.6617325973082,72.20128753812378,103.07600323659096
58.0,2019.0,3.0,25.0,10.0,280.04999999999995,402.28,830.708105196663,61.37025497412537,114.36248876404984
59.0,2019.0,3.0,25.0,11.0,282.15,575.83,898.7081948444496,51.56514169438377,128.00807769867112
60.0,2019.0,3.0,25.0,12.0,283.69,710.22,932.7566660184457,43.674825983411466,145.33943155691537
61.0,2019.0,3.0,25.0,13.0,284.82,795.66,947.5742614410482,39.00146906662766,167.00650805274307
62.0,2019.0,3.0,25.0,14.0,285.82,825.92,948.1920142016743,38.782423782631994,190.98679965142966
63.0,2019.0,3.0,25.0,15.0,286.58,799.22,934.8066873840099,43.08669016830947,213.0060396710793
64.0,2019.0,3.0,25.0,16.0,286.96,720.9,902.9483335560026,50.73687023979819,230.7370635310078
65.0,2019.0,3.0,25.0,17.0,287.03,590.96,839.2740751742741,60.40223459941779,244.67349617054816
66.0,2019.0,3.0,25.0,18.0,286.59,426.31,701.6521373668893,71.15545423100619,256.1375484270468
67.0,2019.0,3.0,25.0,19.0,284.62,234.96,336.56689578079835,82.38537965297292,266.28233485396447
68.0,2019.0,3.0,25.0,20.0,282.96999999999997,42.72,0.0,93.92766286943223,276.0099393343003
69.0,2019.0,3.0,25.0,21.0,280.17999999999995,0.0,0.0,105.1461386354006,286.1145822627004
70.0,2019.0,3.0,25.0,22.0,278.26,0.0,0.0,115.76446779387553,297.4374481747085
71.0,2019.0,3.0,25.0,23.0,277.46,0.0,0.0,125.22838842922874,310.9725531401756
72.0,2019.0,3.0,26.0,0.0,277.17999999999995,0.0,0.0,132.69319000091505,327.7531121919111
73.0,2019.0,3.0,26.0,1.0,277.07,0.0,0.0,137.00942223605108,348.0779453130805
74.0,2019.0,3.0,26.0,2.0,277.02,0.0,0.0,137.16937916614444,10.170342549619818
75.0,2019.0,3.0,26.0,3.0,276.98999999999995,0.0,0.0,133.12824810110646,30.713745904691876
76.0,2019.0,3.0,26.0,4.0,276.94,0.0,0.0,125.84860376106965,47.75637604085472
77.0,2019.0,3.0,26.0,5.0,277.0,0.0,0.0,116.49181286008664,61.4873621018906
78.0,2019.0,3.0,26.0,6.0,276.07,0.0,0.0,105.92684642236374,72.92292225776902
79.0,2019.0,3.0,26.0,7.0,275.95,0.0,0.0,94.72396348089256,83.06761792238997
80.0,2019.0,3.0,26.0,8.0,276.96,32.93,292.8348368095518,83.15457537574036,92.7700964825226
81.0,2019.0,3.0,26.0,9.0,281.23999999999995,218.05,687.8855725938749,71.88383346715985,102.82187555494147
82.0,2019.0,3.0,26.0,10.0,284.31,405.84,831.8114149610178,61.03636340057697,114.11240245719522
83.0,2019.0,3.0,26.0,11.0,286.34999999999997,563.37,898.7480634823588,51.20665578866479,127.78247655401684
84.0,2019.0,3.0,26.0,12.0,287.9,683.52,932.3439247166418,43.28876847742666,145.19009013985908
85.0,2019.0,3.0,26.0,13.0,289.15999999999997,744.04,946.9554174841238,38.60203829126542,167.01781532773407
86.0,2019.0,3.0,26.0,14.0,289.95,747.6,947.500533128401,38.405537852041974,191.19908374840594
87.0,2019.0,3.0,26.0,15.0,290.53999999999996,727.13,934.1521435378421,42.76200144709351,213.3476695390849
88.0,2019.0,3.0,26.0,16.0,290.72999999999996,651.48,902.4842032631382,50.46599529858268,231.11688254759844
89.0,2019.0,3.0,26.0,17.0,290.72999999999996,525.1,839.3423589367737,60.17141970088031,245.04868964177678
90.0,2019.0,3.0,26.0,18.0,290.37,380.03,703.3692199282971,70.94925193113423,256.49890303150266
91.0,2019.0,3.0,26.0,19.0,288.64,213.6,345.1941309626585,82.19176350683239,266.63345071256236
92.0,2019.0,3.0,26.0,20.0,287.94,41.83,0.0,93.72996056482313,276.3578166421619
93.0,2019.0,3.0,26.0,21.0,287.88,0.0,0.0,104.934933109698,286.4656211799627
94.0,2019.0,3.0,26.0,22.0,287.32,0.0,0.0,115.5270049986908,297.7936659592227
95.0,2019.0,3.0,26.0,23.0,286.63,0.0,0.0,124.95113469375326,311.3238211060653
96.0,2019.0,3.0,27.0,0.0,286.02,0.0,0.0,132.36552084654198,328.06281660353346
97.0,2019.0,3.0,27.0,1.0,285.35999999999996,0.0,0.0,136.63401461403322,348.2767114170398
98.0,2019.0,3.0,27.0,2.0,285.2,0.0,0.0,136.77072652227088,10.202422525648558
99.0,2019.0,3.0,27.0,3.0,285.14,0.0,0.0,132.73778106104962,30.60018370537773
100.0,2019.0,3.0,27.0,4.0,285.46999999999997,0.0,0.0,125.4824604346865,47.56062749111743
101.0,2019.0,3.0,27.0,5.0,285.65999999999997,0.0,0.0,116.15042711527119,61.25659594553626
102.0,2019.0,3.0,27.0,6.0,280.47999999999996,0.0,0.0,105.60383210400325,72.67931341489596
103.0,2019.0,3.0,27.0,7.0,280.60999999999996,0.0,0.0,94.41122788284694,82.81888760341988
104.0,2019.0,3.0,27.0,8.0,281.45,32.04,308.83789952291306,82.84843396432437,92.51796975200331
105.0,2019.0,3.0,27.0,9.0,284.48999999999995,210.04,691.9323831266963,71.56725182362175,102.56736292458623
106.0,2019.0,3.0,27.0,10.0,288.09999999999997,406.73,832.8477666547793,60.70353661257779,113.86123795696855
107.0,2019.0,3.0,27.0,11.0,288.97999999999996,573.16,898.7503378156533,50.84927088669806,127.55510086819463
108.0,2019.0,3.0,27.0,12.0,289.92999999999995,685.3,931.9042421888236,42.90364177057343,145.0389666026965
109.0,2019.0,3.0,27.0,13.0,290.56,691.53,946.3139360298933,38.20338846666476,167.02937746928126
110.0,2019.0,3.0,27.0,14.0,290.98999999999995,622.11,946.7876638566906,38.02979485671303,191.4145601490895
111.0,2019.0,3.0,27.0,15.0,291.16999999999996,566.93,933.4751312977929,42.439003083302865,213.69286829219087
112.0,2019.0,3.0,27.0,16.0,291.21999999999997,506.41,901.9933120248978,50.196928161523246,231.49894052646943
113.0,2019.0,3.0,27.0,17.0,290.97999999999996,424.53,839.3719396609753,59.94215410998982,245.4248845711959
114.0,2019.0,3.0,27.0,18.0,290.58,353.33,705.0066483556566,70.74418363962545,256.8604435602232
115.0,2019.0,3.0,27.0,19.0,288.07,234.96,353.5493198199478,81.99874852137626,266.9841946399705
116.0,2019.0,3.0,27.0,20.0,286.21999999999997,46.28,0.0,93.53255000300763,276.7048433427333
117.0,2019.0,3.0,27.0,21.0,284.84,0.0,0.0,104.7236501715191,286.8152665857714
118.0,2019.0,3.0,27.0,22.0,283.35999999999996,0.0,0.0,115.28919573261341,298.1477594711121
119.0,2019.0,3.0,27.0,23.0,281.63,0.0,0.0,124.67346971964871,311.6720134540034
120.0,2019.0,3.0,28.0,0.0,280.96999999999997,0.0,0.0,132.03772320060403,328.3686874003253
121.0,2019.0,3.0,28.0,1.0,281.71,0.0,0.0,136.25906125325088,348.4723504454506
122.0,2019.0,3.0,28.0,2.0,283.56,0.0,0.0,136.37290667584074,10.233983455260898
123.0,2019.0,3.0,28.0,3.0,283.22999999999996,0.0,0.0,132.34802976985617,30.48829274074592
124.0,2019.0,3.0,28.0,4.0,282.38,0.0,0.0,125.11678296786428,47.36707519729228
125.0,2019.0,3.0,28.0,5.0,281.02,0.0,0.0,115.80940682792573,61.02767189055879
126.0,2019.0,3.0,28.0,6.0,279.37,0.0,0.0,105.28124667652068,72.43699541614468
127.0,2019.0,3.0,28.0,7.0,279.65,0.0,0.0,94.09908848129895,82.57090488277017
128.0,2019.0,3.0,28.0,8.0,280.95,27.59,324.2274224490528,82.54278493109582,92.26605377303
129.0,2019.0,3.0,28.0,9.0,281.98999999999995,109.47,695.8076975524912,71.25167813177391,102.31246774853946
130.0,2019.0,3.0,28.0,10.0,283.09,193.13,833.8186834604747,60.37191083125283,113.60898276096476
131.0,2019.0,3.0,28.0,11.0,283.54999999999995,305.27,898.7158477652833,50.493123646882616,127.32590397197217
132.0,2019.0,3.0,28.0,12.0,283.75,461.91,931.4382905713182,42.519575169486224,144.88596583698205
133.0,2019.0,3.0,28.0,13.0,283.69,420.08,945.6504641764755,37.80563046048189,167.04109218862556
134.0,2019.0,3.0,28.0,14.0,284.04999999999995,430.76,946.0540840354022,37.655288125965065,191.63315142290855
135.0,2019.0,3.0,28.0,15.0,284.41999999999996,387.15,932.7764094430293,42.117765774667355,214.0415206629923
136.0,2019.0,3.0,28.0,16.0,284.34,332.86,901.4765907517326,49.92971050191525,231.88309207728133
137.0,2019.0,3.0,28.0,17.0,285.46,555.36,839.3641739180863,59.71445754205456,245.80193715406722
138.0,2019.0,3.0,28.0,18.0,284.58,399.61,706.5673082743627,70.54025768734334,257.2220369818017
139.0,2019.0,3.0,28.0,19.0,283.69,105.91,361.63982560796796,81.80634589279518,267.3344422364433
140.0,2019.0,3.0,28.0,20.0,282.84,16.91,0.0,93.33543900407099,277.05089926459397
141.0,2019.0,3.0,28.0,21.0,281.92999999999995,0.0,0.0,104.51230720454284,287.1633993386389
142.0,2019.0,3.0,28.0,22.0,280.91999999999996,0.0,0.0,115.05107354660866,298.49961160430763
143.0,2019.0,3.0,28.0,23.0,279.52,0.0,0.0,124.39544933981304,312.0170253996781
144.0,2019.0,3.0,29.0,0.0,278.29999999999995,0.0,0.0,131.70987627566362,328.67065068429304
145.0,2019.0,3.0,29.0,1.0,277.89,0.0,0.0,135.88465735086527,348.66480894555326
146.0,2019.0,3.0,29.0,2.0,277.47999999999996,0.0,0.0,135.97602834759084,10.264941120464442
147.0,2019.0,3.0,29.0,3.0,277.10999999999996,0.0,0.0,131.95912044742957,30.377975138420197
148.0,2019.0,3.0,29.0,4.0,276.71,0.0,0.0,124.75170823757645,47.17565271861733
149.0,2019.0,3.0,29.0,5.0,276.35999999999996,0.0,0.0,115.4688904456884,60.80055877807894
150.0,2019.0,3.0,29.0,6.0,275.03,0.0,0.0,104.95922619469917,72.1959599893585
151.0,2019.0,3.0,29.0,7.0,274.77,0.0,0.0,93.78767862910675,82.32367371467826
152.0,2019.0,3.0,29.0,8.0,274.91999999999996,29.37,339.00696803946016,82.23778979736937,92.01435715546933
153.0,2019.0,3.0,29.0,9.0,275.84,121.04,699.5169177150277,70.9372459676446,102.057195892074
154.0,2019.0,3.0,29.0,10.0,276.7,211.82,834.7256901043042,60.0416206580475,113.35562848986638
155.0,2019.0,3.0,29.0,11.0,277.17999999999995,223.39,898.6454322450652,50.13834966768687,127.09484346702963
156.0,2019.0,3.0,29.0,12.0,277.77,300.82,930.9467482251887,42.136697628419796,144.73099552666423
157.0,2019.0,3.0,29.0,13.0,278.28,337.31,944.96565201591,37.408875150609596,167.0528580039702
158.0,2019.0,3.0,29.0,14.0,278.66999999999996,377.36,945.3004709332195,37.28211104211108,191.85477985876972
159.0,2019.0,3.0,29.0,15.0,278.94,350.66,932.0567318110384,41.79836004367975,214.3935095570673
160.0,2019.0,3.0,29.0,16.0,279.13,311.5,900.934957031942,49.664383874248315,232.26919061703714
161.0,2019.0,3.0,29.0,17.0,279.15999999999997,258.99,839.3203838140117,59.488350110814245,246.1797034884651
162.0,2019.0,3.0,29.0,18.0,278.96999999999997,191.35,708.053969429925,70.33748344273239,257.5835508060929
163.0,2019.0,3.0,29.0,19.0,278.63,110.36,369.47308205851033,81.61456796264355,267.6840700136911
164.0,2019.0,3.0,29.0,20.0,278.09999999999997,24.03,0.0,93.1386376255606,277.395865509065
