Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation (high resolution)  [sfc],Snowfall Amount (high resolution)  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2019,4,6,1,0,10.73,64,1009.2,0,0,100,21,100,100,0,0,2.55,221.82
2019,4,6,2,0,10.1,68,1009.1,0,0,100,4,100,100,0,0,2.62,220.36
2019,4,6,3,0,9.33,75,1008.9,0,0,100,12,69,100,0,0,2.58,215.54
2019,4,6,4,0,8.63,82,1009.1,0.2,0,100,11,79,100,0,0,2.69,211.33
2019,4,6,5,0,8.11,89,1009.2,0.4,0,100,24,94,100,0,0,2.56,210.58
2019,4,6,6,0,7.91,98,1011.7,0.5,0,100,100,100,100,0,0,1.84,220.6
2019,4,6,7,0,7.54,40,1015.2,0,0,100,100,100,0,0,0,3.64,142.82
2019,4,6,8,0,7.88,53,1015.3,0,0,100,36,100,0,0,31.15,3.32,133.78
2019,4,6,9,0,10.63,57,1014.4,0,0,92,3,92,0,0,213.6,3.28,142.43
2019,4,6,10,0,13.4,35,1013.5,0,0,17,7,17,0,1.28,409.4,3.73,159.62
2019,4,6,11,0,15.25,25,1012.5,0,0,38,24,38,0,49.15,582.06,4.6,178.75
2019,4,6,12,0,16.53,23,1011.7,0,0,100,70,100,0,35.74,695.98,5.34,192.99
2019,4,6,13,0,17.33,22,1011.3,0,0,100,100,100,0,0,658.6,5.99,205.71
2019,4,6,14,0,17.84,22,1010.9,0,0,100,100,100,0,0,639.91,6.09,209.51
2019,4,6,15,0,18.25,22,1010.2,0,0,100,100,100,0,0,607.87,6.91,211.39
2019,4,6,16,0,18.35,22,1009.9,0,0,100,100,100,0,0,531.33,7.29,213.25
2019,4,6,17,0,18.1,25,1009.6,0,0,100,100,100,0,0,417.41,7.36,216.71
2019,4,6,18,0,17.66,29,1009.1,0,0,100,100,100,0,0,309.72,6.56,217.57
2019,4,6,19,0,16.34,42,1008.9,0,0,100,0,100,0,0,203.81,5.08,216.19
2019,4,6,20,0,13.86,39,1009.6,0,0,26,0,26,0,0,45.39,3.85,204.57
2019,4,6,21,0,12.68,40,1010.1,0,0,9,0,9,0,0,0,3.82,186.01
2019,4,6,22,0,11.11,46,1011.4,0,0,50,0,50,0,0,0,4.2,182.73
2019,4,6,23,0,9.93,42,1012.1,0,0,29,0,29,0,0,0,4.32,185.31
